time_stamp,sensor_index,humidity,temperature,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2020-12-20 21:20:00+00:00,182,54.0,56.0,3.394,4.56,3.394,4.56
2020-12-20 21:30:00+00:00,182,55.4,55.4,2.292,2.886,2.292,2.886
2020-12-20 21:40:00+00:00,182,57.0,55.0,1.932,1.986,1.932,1.986
2020-12-20 21:50:00+00:00,182,57.6,55.6,1.642,2.12,1.642,2.12
2020-12-20 22:00:00+00:00,182,57.2,55.8,1.708,1.986,1.708,1.986
2020-12-20 22:10:00+00:00,182,53.6,56.0,1.104,1.264,1.104,1.264
2020-12-20 22:20:00+00:00,182,55.2,56.0,1.498,1.696,1.498,1.696
2020-12-20 22:30:00+00:00,182,56.8,55.2,0.82,1.19,0.82,1.19
2020-12-20 22:40:00+00:00,182,57.0,55.2,0.494,0.584,0.494,0.584
2020-12-20 22:50:00+00:00,182,57.0,55.0,0.402,0.422,0.402,0.422
2020-12-20 23:00:00+00:00,182,56.6,55.4,0.392,1.042,0.392,1.042
2020-12-20 23:10:00+00:00,182,57.6,55.2,0.66,0.922,0.66,0.922
2020-12-20 23:20:00+00:00,182,61.0,54.8,0.794,0.792,0.794,0.792
2020-12-20 23:30:00+00:00,182,62.0,54.4,1.066,1.166,1.066,1.166
2020-12-20 23:40:00+00:00,182,62.8,54.0,1.458,1.824,1.458,1.824
2020-12-20 23:50:00+00:00,182,63.8,53.0,1.704,1.868,1.704,1.868
2020-12-21 00:00:00+00:00,182,63.8,52.2,13.958,15.684,14.852,16.542
2020-12-21 00:10:00+00:00,182,65.0,51.6,18.852,21.614,19.602,22.52
2020-12-21 00:20:00+00:00,182,66.2,51.0,0.948,1.658,0.948,1.658
2020-12-21 00:30:00+00:00,182,66.8,50.8,2.664,4.706,2.664,4.706
2020-12-21 00:40:00+00:00,182,67.0,50.4,1.728,2.568,1.728,2.568
2020-12-21 00:50:00+00:00,182,67.0,50.0,1.254,3.112,1.254,3.112
2020-12-21 01:00:00+00:00,182,67.0,50.0,4.692,6.906,4.692,6.906
2020-12-21 01:10:00+00:00,182,67.0,50.0,1.142,1.936,1.142,1.936
2020-12-21 01:20:00+00:00,182,67.0,49.0,0.648,1.07,0.648,1.07
2020-12-21 01:30:00+00:00,182,67.4,49.0,1.868,2.96,1.868,2.96
2020-12-21 01:40:00+00:00,182,67.8,49.0,18.564,21.138,18.564,21.138
2020-12-21 01:50:00+00:00,182,67.4,48.4,35.84,40.342,38.512,43.072
2020-12-21 02:00:00+00:00,182,67.8,48.0,4.688,5.862,4.688,5.862
2020-12-21 02:10:00+00:00,182,68.0,48.0,5.088,6.356,5.088,6.356
2020-12-21 02:20:00+00:00,182,68.0,48.0,3.11,3.304,3.11,3.304
2020-12-21 02:30:00+00:00,182,68.4,48.0,2.314,2.412,2.314,2.412
2020-12-21 02:40:00+00:00,182,68.2,47.8,11.28,12.49,11.28,12.49
2020-12-21 02:50:00+00:00,182,68.2,48.0,7.598,8.8,7.598,8.8
2020-12-21 03:00:00+00:00,182,67.8,48.0,7.966,9.328,7.966,9.328
2020-12-21 03:10:00+00:00,182,67.2,48.0,15.01,17.146,15.01,17.146
2020-12-21 03:20:00+00:00,182,67.6,48.0,8.646,9.58,8.646,9.58
2020-12-21 03:30:00+00:00,182,67.4,48.0,5.31,6.692,5.31,6.692
2020-12-21 03:40:00+00:00,182,67.2,48.0,4.556,4.968,4.556,4.968
2020-12-21 03:50:00+00:00,182,67.2,48.0,17.508,19.994,17.574,20.03
2020-12-21 04:00:00+00:00,182,67.4,48.0,7.452,8.91,7.452,8.91
2020-12-21 04:10:00+00:00,182,68.4,47.8,1.604,2.108,1.604,2.108
2020-12-21 04:20:00+00:00,182,68.2,48.0,2.912,3.984,2.912,3.984
2020-12-21 04:30:00+00:00,182,68.6,48.0,1.61,1.866,1.61,1.866
